"","species","assembly_accession","Goodman_r","Goodman_pvalue","Cambray_r","Cambray_pvalue"
"751","Microterricola","GCF_900104895.1",0.6125,0,0.5713,0
"752","Microvenator","GCF_007993755.1",0.6645,0,0.6141,0
"753","Microvirga","GCF_002741015.1",0.6311,0,0.5667,0
"754","Microvirgula","GCF_003051865.1",0.6182,0,0.4746,1e-04
"755","Mixta","GCF_009914055.1",0.7375,0,0.5314,0
"756","Mobiluncus","GCF_000196535.1",0.6989,0,0.5135,0
"757","Moellerella","GCF_022592395.1",0.5231,0,0.2868,0.0276
"758","Mogibacterium","GCF_002243385.1",0.4509,3e-04,0.4894,1e-04
"759","Monoglobus","GCF_002874775.1",0.5753,0,0.5098,0
"760","Moorella","GCF_009735625.1",0.5869,0,0.4125,0.0012
"761","Moraxella","GCF_025985205.1",0.336,0.0093,0.384,0.0027
"762","Morganella","GCF_902387845.1",0.7233,0,0.4676,2e-04
"763","Moritella","GCF_008931805.1",0.5839,0,0.4407,5e-04
"764","Morococcus","GCF_022749515.1",0.6591,0,0.5408,0
"765","Mucilaginibacter","GCF_000166195.2",0.6605,0,0.6362,0
"766","Mucisphaera","GCF_007748075.1",0.6319,0,0.5643,0
"767","Mucispirillum","GCF_000487995.2",0.3037,0.0194,0.1592,0.2284
"768","Murdochiella","GCF_900119705.1",0.7338,0,0.5695,0
"769","Muribaculum","GCF_004803695.1",0.6492,0,0.6912,0
"770","Muricauda","GCF_011068285.1",0.6184,0,0.6914,0
"771","Muriicola","GCF_004139715.1",0.5674,0,0.624,0
"772","Musicola","GCF_000023545.1",0.726,0,0.5263,0
"773","Mycetohabitans","GCF_000198775.1",0.5677,0,0.4998,1e-04
"774","Mycoavidus","GCF_003966915.1",0.4551,3e-04,0.3127,0.0159
"775","Mycobacterium","GCF_002157835.1",0.6502,0,0.5524,0
"776","Mycobacteroides","GCF_001605725.1",0.6051,0,0.5166,0
"777","Mycolicibacillus","GCF_010731835.1",0.6907,0,0.4839,1e-04
"778","Mycolicibacter","GCF_019645815.1",0.6972,0,0.5717,0
"779","Mycolicibacterium","GCF_010727475.1",0.6453,0,0.5364,0
"780","Mycoplasma","GCF_000200735.1",-0.308,0.0176,-0.1285,0.3319
"781","Mycoplasmoides","GCF_024498275.1",0.0781,0.5568,0.0564,0.6714
"782","Mycoplasmopsis","GCF_900660645.1",0.2497,0.0565,0.107,0.4199
"783","Myroides","GCF_000833025.1",0.2986,0.0216,0.322,0.0129
"784","Myxococcus","GCF_000331735.1",0.6024,0,0.594,0
"785","Nakamurella","GCF_000024365.1",0.6086,0,0.4753,1e-04
"786","Natranaerobius","GCF_000020005.1",0.1589,0.2295,0.1105,0.4045
"787","Nautilia","GCF_000021725.1",0.2779,0.0331,0.2005,0.1279
"788","Ndongobacter","GCF_900120375.1",0.7609,0,0.558,0
"789","Neisseria","GCF_014297595.1",0.5998,0,0.5623,0
"790","Neoasaia","GCF_002005465.1",0.6015,0,0.487,1e-04
"791","Neoehrlichia","GCF_024299005.1",-0.2232,0.0893,-0.2657,0.042
"792","Neokomagataea","GCF_006542335.1",0.1966,0.1355,0.0814,0.5401
"793","Neomicrococcus","GCF_001887245.1",0.5955,0,0.5172,0
"794","Neorhizobium","GCF_000731315.1",0.6987,0,0.5626,0
"795","Neorickettsia","GCF_000632985.1",0.3097,0.017,0.3731,0.0036
"796","Neptunomonas","GCF_013394205.1",0.5795,0,0.5529,0
"797","Nesterenkonia","GCF_019575955.1",0.2209,0.0927,0.2364,0.0715
"798","Niabella","GCF_001654455.1",0.7022,0,0.5881,0
"799","Niallia","GCF_013267435.1",0.5052,0,0.2267,0.0843
"800","Niastella","GCF_000246855.1",0.6878,0,0.5189,0
"801","Nibribacter","GCF_009913235.1",0.6595,0,0.6041,0
"802","Nibricoccus","GCF_002310495.1",0.5741,0,0.5113,0
"803","Nisaea","GCF_024662015.1",0.6768,0,0.5728,0
"804","Nitratifractor","GCF_000186245.1",0.6304,0,0.5207,0
"805","Nitratireductor","GCF_019891395.1",0.6704,0,0.6004,0
"806","Nitrincola","GCF_008727795.1",0.71,0,0.6105,0
"807","Nitrobacter","GCF_000013885.1",0.6683,0,0.5455,0
"808","Nitrosococcus","GCF_000024725.1",0.6578,0,0.6356,0
"809","Nitrosomonas","GCF_001007935.1",0.6032,0,0.528,0
"810","Nitrosophilus","GCF_014466985.1",0.1969,0.1349,0.1407,0.2878
"811","Nitrosospira","GCF_000355765.4",0.6285,0,0.633,0
"812","Nitrospira","GCF_001273775.1",0.6623,0,0.5027,0
"813","Nitrospirillum","GCF_000730165.1",0.6114,0,0.5303,0
"814","Niveispirillum","GCF_002868735.1",0.526,0,0.3738,0.0035
"815","Nocardia","GCF_019222765.1",0.6102,0,0.4696,2e-04
"816","Nocardioides","GCF_006494775.1",0.5323,0,0.3719,0.0037
"817","Nocardiopsis","GCF_024134545.1",0.5847,0,0.491,1e-04
"818","Nonlabens","GCF_002117125.1",0.5632,0,0.4729,2e-04
"819","Nonomuraea","GCF_020215645.1",0.5643,0,0.5501,0
"820","Nosocomiicoccus","GCF_019357495.1",0.2327,0.0762,-0.0385,0.7725
"821","Nostoc","GCF_002813575.1",0.3397,0.0085,0.2915,0.0251
"822","Novacetimonas","GCF_014843995.1",0.6351,0,0.4322,6e-04
"823","Novibacillus","GCF_002005165.1",0.5588,0,0.3123,0.016
"824","Novisyntrophococcus","GCF_018866245.1",0.6563,0,0.6188,0
"825","Novosphingobium","GCF_001742225.1",0.6213,0,0.4732,2e-04
"826","Occallatibacter","GCF_025264625.1",0.6558,0,0.5789,0
"827","Occultella","GCF_009708215.1",0.6114,0,0.4931,1e-04
"828","Oceanicoccus","GCF_002117105.1",0.6064,0,0.4484,4e-04
"829","Oceanidesulfovibrio","GCF_013085545.1",0.6323,0,0.63,0
"830","Oceanisphaera","GCF_002157895.1",0.6083,0,0.5461,0
"831","Oceanithermus","GCF_000183745.1",0.6942,0,0.5687,0
"832","Oceanobacillus","GCF_003352005.1",0.5733,0,0.4123,0.0012
"833","Octadecabacter","GCF_000155735.2",0.6282,0,0.4586,3e-04
"834","Odoribacter","GCF_020736405.1",0.7132,0,0.5937,0
"835","Oenococcus","GCF_020510245.1",0.6725,0,0.4512,3e-04
"836","Oleidesulfovibrio","GCF_000012665.1",0.6564,0,0.5499,0
"837","Oleiphilus","GCF_002162375.1",0.7295,0,0.5265,0
"838","Oligella","GCF_016028735.1",0.6112,0,0.6025,0
"839","Olsenella","GCF_900119915.1",0.6459,0,0.5474,0
"840","Opitutus","GCF_000019965.1",0.5203,0,0.4639,2e-04
"841","Orientia","GCF_000010205.1",0.0646,0.6269,-0.1069,0.4205
"842","Ornithinimicrobium","GCF_007197575.1",0.5926,0,0.4383,5e-04
"843","Ornithobacterium","GCF_000756505.1",0.5206,0,0.5003,1e-04
"844","Orrella","GCF_900089455.2",0.618,0,0.5319,0
"845","Oryzomicrobium","GCF_008274805.1",0.5374,0,0.5776,0
"846","Oscillatoria","GCF_000317475.1",0.5421,0,0.3261,0.0117
"847","Otariodibacter","GCF_009684715.1",0.2124,0.1062,0.2337,0.0749
"848","Owenweeksia","GCF_000236705.1",0.3775,0.0032,0.3331,0.0099
"849","Oxalobacter","GCF_027118995.1",0.6634,0,0.6139,0
"850","Oxynema","GCF_012295525.1",0.6219,0,0.3433,0.0078
"851","Pacificitalea","GCF_002504165.1",0.6482,0,0.4619,2e-04
"852","Paenacidovorax","GCF_014489595.1",0.5849,0,0.5589,0
"853","Paenalkalicoccus","GCF_006965545.2",0.5499,0,0.4731,2e-04
"854","Paenarthrobacter","GCF_017357445.1",0.6222,0,0.5555,0
"855","Paenibacillus","GCF_018604145.1",0.6921,0,0.5518,0
"856","Paeniclostridium","GCF_002865995.1",-0.1595,0.2275,-0.1807,0.1707
"857","Paenisporosarcina","GCF_004367585.1",0.4701,2e-04,0.1896,0.1504
"858","Pajaroellobacter","GCF_001931505.1",0.4695,2e-04,0.3906,0.0022
"859","Paludibacter","GCF_000183135.1",0.6465,0,0.5954,0
"860","Paludibacterium","GCF_018802645.1",0.6789,0,0.5927,0
"861","Paludibaculum","GCF_015277775.1",0.6661,0,0.5626,0
"862","Paludisphaera","GCF_001956985.1",0.621,0,0.5191,0
"863","Panacibacter","GCF_007971225.1",0.3974,0.0018,0.3008,0.0206
"864","Pandoraea","GCF_000972785.3",0.5989,0,0.5191,0
"865","Pantoea","GCF_011044475.1",0.7306,0,0.5681,0
"866","Parabacteroides","GCF_020091425.1",0.7582,0,0.5799,0
"867","Paraburkholderia","GCF_002902965.1",0.625,0,0.4875,1e-04
"868","Parachlamydia","GCF_000253035.1",0.587,0,0.5362,0
"869","Paracholeplasma","GCF_000967915.1",0.4542,3e-04,0.4988,1e-04
"870","Paracidovorax","GCF_000176855.2",0.5361,0,0.5536,0
"871","Paraclostridium","GCF_019916025.1",-0.0946,0.4759,-0.1973,0.1341
"872","Paracoccus","GCF_000203895.1",0.6194,0,0.5576,0
"873","Paradevosia","GCF_016801025.1",0.703,0,0.5582,0
"874","Parafannyhessea","GCF_900105025.1",0.6073,0,0.6137,0
"875","Paraflavitalea","GCF_003555545.1",0.6441,0,0.5785,0
"876","Parageobacillus","GCF_001700985.1",0.6876,0,0.3929,0.0021
"877","Paraliobacillus","GCF_003268595.1",0.3793,0.003,0.0699,0.5989
"878","Paraoerskovia","GCF_900105445.1",0.5615,0,0.4726,2e-04
"879","Paraphotobacterium","GCF_002216855.1",0.0606,0.6484,0.1384,0.2959
"880","Paraprevotella","GCF_900683745.1",0.7041,0,0.6251,0
"881","Pararhodospirillum","GCF_000284415.1",0.6209,0,0.5128,0
"882","Parascardovia","GCF_001042675.1",0.5829,0,0.5943,0
"883","Parasedimentitalea","GCF_004006175.1",0.638,0,0.4801,1e-04
"884","Parashewanella","GCF_004358345.1",0.1808,0.1706,0.1291,0.3297
"885","Parasphaerochaeta","GCF_000208385.1",0.6234,0,0.6372,0
"886","Parasphingopyxis","GCF_013378075.1",0.6594,0,0.4616,2e-04
"887","Parasynechococcus","GCF_000195975.1",0.191,0.1472,0.2613,0.0456
"888","Paraurantiacibacter","GCF_001687545.1",0.6478,0,0.5168,0
"889","Paremcibacter","GCF_006385135.1",0.7516,0,0.5695,0
"890","Paroceanicella","GCF_005887635.2",0.6811,0,0.6209,0
"891","Parolsenella","GCF_900143685.1",0.6568,0,0.5401,0
"892","Parvibaculum","GCF_000017565.1",0.6939,0,0.5258,0
"893","Parvimonas","GCF_003454775.1",0.0987,0.4571,0.1132,0.3932
"894","Parvularcula","GCF_000152825.2",0.6275,0,0.5107,0
"895","Pasteurella","GCF_002073255.2",0.508,0,0.3977,0.0018
"896","Paucilactobacillus","GCF_000829395.1",0.611,0,0.5047,0
"897","Pauljensenia","GCF_001746855.1",0.5091,0,0.4694,2e-04
"898","Pectinatus","GCF_014076555.1",0.7051,0,0.4608,2e-04
"899","Pectobacterium","GCF_003992745.1",0.7202,0,0.5228,0
"900","Pediococcus","GCF_002982135.1",0.5818,0,0.4906,1e-04
"901","Pedobacter","GCF_014395225.1",0.5629,0,0.4187,0.001
"902","Pedococcus","GCF_900104525.1",0.5752,0,0.5154,0
"903","Pelagerythrobacter","GCF_001028625.1",0.7084,0,0.4665,2e-04
"904","Pelagibacterium","GCF_013004005.1",0.6863,0,0.5836,0
"905","Pelagovum","GCF_016134045.1",0.6797,0,0.5283,0
"906","Pelistega","GCF_009833965.1",0.2463,0.0601,0.2778,0.0331
"907","Pelobacter","GCF_000015045.1",0.6309,0,0.6343,0
"908","Pelodictyon","GCF_000020645.1",0.6963,0,0.5496,0
"909","Pelolinea","GCF_003966975.1",0.7304,0,0.5785,0
"910","Peptacetobacter","GCF_008151785.1",0.0509,0.7018,-0.0326,0.8062
"911","Peptoclostridium","GCF_000597865.1",0.4518,3e-04,0.5782,0
"912","Peribacillus","GCF_002243645.1",0.5943,0,0.4998,1e-04
"913","Periweissella","GCF_004358325.1",0.6015,0,0.4979,1e-04
"914","Permianibacter","GCF_009756665.1",0.6255,0,0.3932,0.0021
"915","Persephonella","GCF_000021565.1",0.0981,0.4596,0.1657,0.2099
"916","Persicimonas","GCF_006517175.1",0.678,0,0.5997,0
"917","Peterkaempfera","GCF_003258605.2",0.5819,0,0.4989,1e-04
"918","Peteryoungia","GCF_005860795.2",0.682,0,0.5348,0
"919","Petrimonas","GCF_900095795.1",0.6302,0,0.7061,0
"920","Petrocella","GCF_900538275.1",0.5748,0,0.5688,0
"921","Petrotoga","GCF_000018605.1",-0.0062,0.9625,0.0116,0.9306
"922","Phaeobacter","GCF_000511385.1",0.6737,0,0.5435,0
"923","Phascolarctobacterium","GCF_003945365.1",0.643,0,0.4742,1e-04
"924","Phenylobacterium","GCF_000017265.1",0.6179,0,0.573,0
"925","Phnomibacter","GCF_009740285.1",0.6229,0,0.4348,6e-04
"926","Phocaeicola","GCF_902387545.1",0.6269,0,0.5868,0
"927","Phoenicibacter","GCF_900169485.1",0.5857,0,0.4034,0.0015
"928","Photobacterium","GCF_000940995.1",0.7056,0,0.5968,0
"929","Photorhabdus","GCF_019090985.1",0.5797,0,0.3672,0.0042
"930","Phototrophicus","GCF_015500095.1",0.686,0,0.4943,1e-04
"931","Phreatobacter","GCF_005144885.1",0.6317,0,0.52,0
"932","Phycisphaera","GCF_000284115.1",0.4998,1e-04,0.4195,9e-04
"933","Phyllobacterium","GCF_002764115.1",0.6483,0,0.5679,0
"934","Phytobacter","GCF_012923785.1",0.7512,0,0.5161,0
"935","Phytohabitans","GCF_011764565.1",0.5711,0,0.4513,3e-04
"936","Pigmentiphaga","GCF_008119665.1",0.5699,0,0.4688,2e-04
"937","Pimelobacter","GCF_000785495.1",0.4581,3e-04,0.4262,8e-04
"938","Pirellula","GCF_000025185.1",0.6262,0,0.4698,2e-04
"939","Pirellulimonas","GCF_007750855.1",0.5769,0,0.5404,0
"940","Piscirickettsia","GCF_009708955.1",0.2076,0.1146,0.1117,0.3998
"941","Pistricoccus","GCF_007954585.1",0.6368,0,0.6051,0
"942","Planctopirus","GCF_000092105.1",0.5937,0,0.4413,5e-04
"943","Planktothrix","GCF_904830955.1",0.2088,0.1124,0.1263,0.3406
"944","Planococcus","GCF_001999905.1",0.7727,0,0.4947,1e-04
"945","Plesiomonas","GCF_020991025.1",0.6539,0,0.4906,1e-04
"946","Pluralibacter","GCF_003019925.1",0.6836,0,0.5723,0
"947","Polaribacter","GCF_002814075.1",0.2238,0.0884,0.0821,0.5367
"948","Polaromonas","GCF_000015505.1",0.5768,0,0.5167,0
"949","Polyangium","GCF_005144635.2",0.5863,0,0.4902,1e-04
"950","Polycladomyces","GCF_018326425.1",0.644,0,0.4783,1e-04
"951","Polymorphospora","GCF_018324255.1",0.5692,0,0.4529,3e-04
"952","Polymorphum","GCF_000192745.1",0.6808,0,0.5419,0
"953","Polynucleobacter","GCF_001659725.1",0.2716,0.0375,0.3069,0.018
"954","Polystyrenella","GCF_007750395.1",0.6584,0,0.4139,0.0011
"955","Pontibacter","GCF_000973725.1",0.599,0,0.5655,0
"956","Ponticoccus","GCF_016806125.1",0.6965,0,0.5368,0
"957","Pontimonas","GCF_002950575.1",0.4478,4e-04,0.2643,0.0431
"958","Poriferisphaera","GCF_007747445.1",0.6857,0,0.5664,0
"959","Porphyromonas","GCF_022845615.1",0.6459,0,0.6209,0
"960","Poseidonibacter","GCF_013283835.1",-0.1116,0.4001,-0.125,0.3456
"961","Pragia","GCF_900638655.1",0.7121,0,0.4814,1e-04
"962","Prauserella","GCF_002240355.1",0.5616,0,0.4527,3e-04
"963","Prescottella","GCF_003013675.1",0.6464,0,0.4487,4e-04
"964","Prevotella","GCF_002849795.1",0.5871,0,0.5604,0
"965","Priestia","GCF_002688605.1",0.5705,0,0.3175,0.0143
"966","Prochlorococcus","GCF_000015665.1",-0.2157,0.1008,-0.2186,0.0963
"967","Profundibacter","GCF_003544895.1",0.6764,0,0.5594,0
"968","Propionibacterium","GCF_003798325.1",0.5065,0,0.4595,3e-04
"969","Propioniciclava","GCF_011393335.1",0.5383,0,0.4305,7e-04
"970","Prosthecochloris","GCF_000020625.1",0.6596,0,0.5812,0
"971","Protaetiibacter","GCF_003627075.1",0.6023,0,0.4659,2e-04
"972","Proteiniphilum","GCF_900095135.1",0.6893,0,0.6623,0
"973","Proteus","GCF_011045835.1",0.2236,0.0888,-0.1207,0.3625
"974","Providencia","GCF_002843235.3",0.5081,0,0.3694,0.004
"975","Pseudalgibacter","GCF_001310225.1",0.1369,0.3012,0.1809,0.1704
"976","Pseudarthrobacter","GCF_009911795.1",0.6303,0,0.5221,0
"977","Pseudazoarcus","GCF_002872475.1",0.6383,0,0.5381,0
"978","Pseudoalteromonas","GCF_000238295.3",0.6959,0,0.5416,0
"979","Pseudobdellovibrio","GCF_000348725.1",0.6006,0,0.3331,0.0099
"980","Pseudoclostridium","GCF_002896855.1",0.5982,0,0.6481,0
"981","Pseudocnuella","GCF_004347775.1",0.6538,0,0.4438,4e-04
"982","Pseudodesulfovibrio","GCF_900217235.1",0.7163,0,0.6611,0
"983","Pseudoduganella","GCF_004209755.1",0.6422,0,0.5071,0
"984","Pseudohongiella","GCF_001444425.1",0.6912,0,0.5672,0
"985","Pseudolabrys","GCF_003367395.1",0.6948,0,0.5326,0
"986","Pseudoleptotrichia","GCF_007990505.1",0.477,1e-04,0.3548,0.0058
"987","Pseudolysobacter","GCF_004168365.1",0.6558,0,0.5178,0
"988","Pseudonocardia","GCF_003945385.1",0.6054,0,0.4294,7e-04
"989","Pseudooceanicola","GCF_017795125.1",0.6965,0,0.5421,0
"990","Pseudopedobacter","GCF_000190735.1",0.5555,0,0.468,2e-04
"991","Pseudoprevotella","GCF_003265305.2",0.66,0,0.6251,0
"992","Pseudopuniceibacterium","GCF_014899185.1",0.7257,0,0.5486,0
"993","Pseudorhizobium","GCF_902502825.2",0.6159,0,0.5319,0
"994","Pseudorhodobacter","GCF_005234135.1",0.6483,0,0.5635,0
"995","Pseudorhodoplanes","GCF_002119765.1",0.6447,0,0.495,1e-04
"996","Pseudosulfitobacter","GCF_013347125.1",0.691,0,0.546,0
"997","Pseudothauera","GCF_003345255.1",0.5798,0,0.5119,0
"998","Pseudothermotoga","GCF_000504085.1",0.0717,0.5895,-0.2141,0.1034
"999","Pseudovibrio","GCF_018282095.1",0.7604,0,0.5765,0
"1000","Pseudoxanthomonas","GCF_014397415.1",0.5327,0,0.4922,1e-04
"1001","Psychrobacillus","GCF_008973485.1",0.3794,0.003,0.2714,0.0376
"1002","Psychrobacter","GCF_904848165.1",0.5428,0,0.4175,0.001
"1003","Psychroflexus","GCF_000153485.2",0.5356,0,0.4596,3e-04
"1004","Psychromicrobium","GCF_000950575.1",0.566,0,0.5276,0
"1005","Psychromonas","GCF_000015285.1",0.6291,0,0.5039,0
"1006","Pukyongia","GCF_002966125.1",0.5516,0,0.6538,0
"1007","Pukyongiella","GCF_003008555.2",0.6898,0,0.528,0
"1008","Pulveribacter","GCF_003013695.1",0.5972,0,0.507,0
"1009","Pusillibacter","GCF_018408705.1",0.6141,0,0.6547,0
"1010","Pusillimonas","GCF_004022565.1",0.6285,0,0.6208,0
"1011","Pyramidobacter","GCF_022846135.1",0.6169,0,0.5174,0
"1012","Qingshengfaniella","GCF_007855645.1",0.6102,0,0.5141,0
"1013","Qipengyuania","GCF_008932225.1",0.612,0,0.4292,7e-04
"1014","Quatrionicoccus","GCF_020510525.1",0.6535,0,0.5164,0
"1015","Rahnella","GCF_021276285.1",0.7803,0,0.5036,0
"1016","Raineyella","GCF_009646095.1",0.609,0,0.4431,4e-04
"1017","Ralstonia","GCF_001663855.1",0.5605,0,0.5259,0
"1018","Ramlibacter","GCF_000215705.1",0.5787,0,0.5564,0
"1019","Raoultella","GCF_006711645.1",0.7436,0,0.5741,0
"1020","Raoultibacter","GCF_022845715.1",0.6884,0,0.5906,0
"1021","Rathayibacter","GCF_009834205.1",0.5413,0,0.4819,1e-04
"1022","Reinekea","GCF_002795845.1",0.6723,0,0.6118,0
"1023","Renibacterium","GCF_000018885.1",0.4969,1e-04,0.2096,0.1112
"1024","Rheinheimera","GCF_003990335.1",0.6615,0,0.4431,4e-04
"1025","Rhizobacter","GCF_002762215.1",0.5931,0,0.4963,1e-04
"1026","Rhizobium","GCF_003627755.1",0.6642,0,0.5303,0
"1027","Rhizorhabdus","GCF_017607425.1",0.5995,0,0.4734,2e-04
"1028","Rhodanobacter","GCF_021545825.1",0.605,0,0.5651,0
"1029","Rhodobacter","GCF_000021865.1",0.6156,0,0.4866,1e-04
"1030","Rhodocaloribacter","GCF_011682235.2",0.654,0,0.523,0
"1031","Rhodococcus","GCF_017068375.1",0.6179,0,0.4951,1e-04
"1032","Rhodocytophaga","GCF_010119975.1",0.5018,1e-04,0.3939,0.002
"1033","Rhodoferax","GCF_001955695.1",0.6194,0,0.5528,0
"1034","Rhodoluna","GCF_000699505.1",0.3297,0.0108,0.4252,8e-04
"1035","Rhodomicrobium","GCF_000166055.1",0.6889,0,0.5704,0
"1036","Rhodopirellula","GCF_000196115.1",0.4875,1e-04,0.4293,7e-04
"1037","Rhodopseudomonas","GCF_021184025.1",0.6353,0,0.5232,0
"1038","Rhodospirillum","GCF_000016185.1",0.6653,0,0.5321,0
"1039","Rhodothermus","GCF_000024845.1",0.6896,0,0.6097,0
"1040","Rhodovastum","GCF_937425535.1",0.6321,0,0.479,1e-04
"1041","Rhodovulum","GCF_001633145.1",0.6273,0,0.5076,0
"1042","Richelia","GCF_019056575.1",0.0631,0.6349,0.0781,0.5568
"1043","Rickettsiales","GCF_003932735.1",0.3154,0.015,0.4087,0.0013
"1044","Riemerella","GCF_019552185.1",0.3853,0.0026,0.5732,0
"1045","Rippkaea","GCF_000021805.1",0.2215,0.0919,0.143,0.28
"1046","Robiginitalea","GCF_000024125.1",0.7074,0,0.6122,0
"1047","Rodentibacter","GCF_010587025.1",0.5085,0,0.4312,7e-04
"1048","Romboutsia","GCF_900015215.1",-0.2966,0.0225,-0.3318,0.0103
"1049","Roseateles","GCF_001483865.1",0.5914,0,0.5268,0
"1050","Roseburia","GCF_900537995.1",0.7231,0,0.5499,0
"1051","Roseibacterium","GCF_000590925.1",0.6762,0,0.492,1e-04
"1052","Roseibium","GCF_000158095.2",0.6449,0,0.5281,0
"1053","Roseicitreum","GCF_014681765.1",0.6824,0,0.563,0
"1054","Roseiflexus","GCF_000017805.1",0.6405,0,0.4594,3e-04
"1055","Roseimaritima","GCF_008065135.1",0.6153,0,0.448,4e-04
"1056","Roseitalea","GCF_004331955.1",0.6851,0,0.5307,0
"1057","Roseobacter","GCF_000154785.2",0.6869,0,0.5702,0
"1058","Roseomonas","GCF_001941945.1",0.6539,0,0.4969,1e-04
"1059","Roseovarius","GCF_008728195.1",0.7084,0,0.6013,0
"1060","Rosistilla","GCF_007741475.1",0.6241,0,0.4483,4e-04
"1061","Rothia","GCF_900637985.1",0.5819,0,0.5201,0
"1062","Rouxiella","GCF_011067265.1",0.7296,0,0.6213,0
"1063","Ruania","GCF_008000995.1",0.6976,0,0.4881,1e-04
"1064","Rubinisphaera","GCF_000165715.2",0.7437,0,0.4893,1e-04
"1065","Rubripirellula","GCF_007741535.1",0.5477,0,0.3906,0.0022
"1066","Rubrobacter","GCF_011492945.1",0.5515,0,0.4787,1e-04
"1067","Ruegeria","GCF_000011965.2",0.6852,0,0.5398,0
"1068","Rufibacter","GCF_001310085.1",0.599,0,0.574,0
"1069","Rugosibacter","GCF_000934545.1",0.6893,0,0.5195,0
"1070","Ruminiclostridium","GCF_029318685.1",0.4856,1e-04,0.4929,1e-04
"1071","Ruminococcus","GCF_000179635.2",0.5135,0,0.5754,0
"1072","Runella","GCF_003325355.1",0.5664,0,0.5175,0
"1073","Saccharibacillus","GCF_006542275.1",0.7787,0,0.4774,1e-04
"1074","Saccharobesus","GCF_003063625.1",0.3977,0.0018,0.3137,0.0155
"1075","Saccharomonospora","GCF_000244955.1",0.5426,0,0.5332,0
"1076","Saccharophagus","GCF_000013665.1",0.5311,0,0.5049,0
"1077","Saccharopolyspora","GCF_014697215.1",0.5389,0,0.4232,8e-04
"1078","Saccharospirillum","GCF_003367315.1",0.6418,0,0.2979,0.0219
"1079","Saccharothrix","GCF_009498035.1",0.5172,0,0.4664,2e-04
"1080","Salaquimonas","GCF_001953055.1",0.6836,0,0.5449,0
"1081","Salegentibacter","GCF_900142975.1",0.4315,6e-04,0.2749,0.0351
"1082","Salidesulfovibrio","GCF_008001235.1",0.6475,0,0.6799,0
"1083","Salimicrobium","GCF_001685435.2",0.6504,0,0.5625,0
"1084","Salinicoccus","GCF_001005905.1",0.6897,0,0.5807,0
"1085","Salinicola","GCF_003006155.1",0.6091,0,0.5868,0
"1086","Salinimonas","GCF_003429285.1",0.6795,0,0.5366,0
"1087","Saliniradius","GCF_003143555.1",0.7198,0,0.6795,0
"1088","Salinispira","GCF_000507245.1",0.6481,0,0.6428,0
"1089","Salinispora","GCF_000016425.1",0.6151,0,0.4461,4e-04
"1090","Salinivibrio","GCF_027286365.1",0.6808,0,0.579,0
"1091","Salinivirga","GCF_001443605.1",0.6125,0,0.4839,1e-04
"1092","Salipiger","GCF_001975705.1",0.6794,0,0.5389,0
"1093","Salisediminibacterium","GCF_001721685.1",0.6878,0,0.5079,0
"1094","Salmonella","GCF_000006945.2",0.756,0,0.4898,1e-04
"1095","Sandaracinus","GCF_000737325.1",0.6344,0,0.4992,1e-04
"1096","Sanguibacter","GCF_000024925.1",0.5415,0,0.4706,2e-04
"1097","Saprospira","GCF_000250635.1",0.5405,0,0.5182,0
"1098","Scandinavium","GCF_003935895.2",0.7495,0,0.5412,0
"1099","Scardovia","GCF_001042695.1",0.4536,3e-04,0.4339,6e-04
"1100","Schaalia","GCF_900106055.1",0.693,0,0.5004,1e-04
"1101","Schlegelella","GCF_026013905.1",0.6266,0,0.554,0
"1102","Schleiferilactobacillus","GCF_008694105.1",0.6442,0,0.5303,0
"1103","Sebaldella","GCF_000024405.1",0.5069,0,0.4887,1e-04
"1104","Secundilactobacillus","GCF_001702155.1",0.7055,0,0.546,0
"1105","Sedimenticola","GCF_001007875.1",0.6554,0,0.6301,0
"1106","Sedimentisphaera","GCF_002117005.1",0.564,0,0.647,0
"1107","Sediminibacillus","GCF_017792025.1",0.6541,0,0.4639,2e-04
"1108","Sediminicoccus","GCF_023243115.1",0.588,0,0.4823,1e-04
"1109","Sediminispirochaeta","GCF_000143985.1",0.5994,0,0.6156,0
"1110","Segatella","GCF_020735445.1",0.6708,0,0.6557,0
"1111","Segniliparus","GCF_000092825.1",0.5091,0,0.4546,3e-04
"1112","Selenomonas","GCF_000208405.1",0.6588,0,0.5528,0
"1113","Serinicoccus","GCF_001685415.1",0.5,1e-04,0.3874,0.0024
"1114","Serpentinicella","GCF_018141405.1",0.1114,0.4007,0.1235,0.3512
"1115","Serpentinimonas","GCF_000828915.1",0.5687,0,0.5209,0
"1116","Serratia","GCF_001006005.1",0.7564,0,0.6204,0
"1117","Shewanella","GCF_007197555.1",0.6079,0,0.6422,0
"1118","Shigella","GCF_022354085.1",0.7768,0,0.4804,1e-04
"1119","Shimwellia","GCF_000262305.1",0.6942,0,0.5935,0
"1120","Shouchella","GCF_007725405.1",0.5705,0,0.2667,0.0412
"1121","Siansivirga","GCF_000941055.1",0.5282,0,0.3649,0.0045
"1122","Siccibacter","GCF_025914095.1",0.766,0,0.5755,0
"1123","Sideroxydans","GCF_000025705.1",0.6849,0,0.6302,0
"1124","Silicimonas","GCF_003970735.1",0.6162,0,0.5351,0
"1125","Silvanigrella","GCF_001907975.1",0.18,0.1724,0.0061,0.9635
"1126","Simkania","GCF_000237205.1",0.5266,0,0.6077,0
